Lemma,Part-of-Speech,Sense_id,Gloss,Confidence,Grade
把,P,04011702,引介導致狀態改變的目標。,0.3130,6下
把,P,04011703,引介認知評價的對象。,0.5797,6下
把,P,04011703,引介認知評價的對象。,0.6813,6下
把,Nf,05000606,計算成束的長條狀物品的單位。,0.9746,6下
把,P,04011702,引介導致狀態改變的目標。,0.9883,6下
把,P,04011701,引介處置的對象。,0.9415,6下
把,P,04011702,引介導致狀態改變的目標。,0.9700,6下
把,P,04011702,引介導致狀態改變的目標。,0.7041,6下
把,P,05000606,計算成束的長條狀物品的單位。,0.3149,6下
把,P,04011701,引介處置的對象。,0.4615,6下
把,P,04011702,引介導致狀態改變的目標。,0.9992,6下
把,P,05000603,計算有把手或是可以握在手中的物品的單位。,0.7646,6下
把,P,04011702,引介導致狀態改變的目標。,0.2183,6下
把,P,04011702,引介導致狀態改變的目標。,0.9792,6下
把,P,04011703,引介認知評價的對象。,0.4060,6下
把,P,04011701,引介處置的對象。,0.9838,6下
把,P,05000603,計算有把手或是可以握在手中的物品的單位。,0.5531,6下
把,P,05000604,計算可以用手一把抓起的物品的單位。,0.4346,6下
把,P,04011702,引介導致狀態改變的目標。,0.2904,6下
把,P,04011702,引介導致狀態改變的目標。,0.3667,6上
把,P,04011702,引介導致狀態改變的目標。,0.4130,6上
把,P,05000603,計算有把手或是可以握在手中的物品的單位。,0.6331,6上
把,P,05000604,計算可以用手一把抓起的物品的單位。,0.8883,6上
把,P,04011702,引介導致狀態改變的目標。,0.8011,6上
把,P,05000604,計算可以用手一把抓起的物品的單位。,0.5554,6上
把,P,04011702,引介導致狀態改變的目標。,0.9069,6上
把,P,04011702,引介導致狀態改變的目標。,0.9994,6上
把,P,04011702,引介導致狀態改變的目標。,0.8141,6上
把,P,04011702,引介導致狀態改變的目標。,0.2396,6上
把,P,04011702,引介導致狀態改變的目標。,0.2627,6上
把,P,04011701,引介處置的對象。,0.7074,6下
把,P,04011702,引介導致狀態改變的目標。,0.5277,6下
把,P,04011701,引介處置的對象。,0.8912,6下
把,P,04011703,引介認知評價的對象。,0.7229,6下
把,P,04011703,引介認知評價的對象。,0.5927,6下
把,P,04011702,引介導致狀態改變的目標。,0.9798,6下
把,P,04011702,引介導致狀態改變的目標。,0.9999,6下
把,P,04011702,引介導致狀態改變的目標。,0.9378,6下
把,P,05000603,計算有把手或是可以握在手中的物品的單位。,0.4364,6下
把,P,04011702,引介導致狀態改變的目標。,0.8270,6下
把,P,04011702,引介導致狀態改變的目標。,0.8723,6下
把,P,04011702,引介導致狀態改變的目標。,0.9715,6下
把,P,04011702,引介導致狀態改變的目標。,0.6374,6下
把,P,05000606,計算成束的長條狀物品的單位。,0.4713,6下
把,P,04011702,引介導致狀態改變的目標。,0.8893,6上
把,P,05000603,計算有把手或是可以握在手中的物品的單位。,0.4101,5上
把,P,04011703,引介認知評價的對象。,0.2840,5上
把,P,05000603,計算有把手或是可以握在手中的物品的單位。,0.7208,5上
把,P,04011702,引介導致狀態改變的目標。,0.7180,5上
把,P,04011701,引介處置的對象。,0.7095,5上
把,P,05000604,計算可以用手一把抓起的物品的單位。,0.8540,5上
把,P,04011703,引介認知評價的對象。,0.3979,5上
把,P,04011702,引介導致狀態改變的目標。,0.5108,5上
把,P,05000609,計算用手動作次數的單位，前接數詞，多半出現在動詞的後面。,0.4441,5上
把,P,04011703,引介認知評價的對象。,0.6416,5上
把,P,05000606,計算成束的長條狀物品的單位。,0.4010,5上
把,P,04011702,引介導致狀態改變的目標。,0.9937,5下
把,P,04011703,引介認知評價的對象。,0.9954,5下
把,P,05000606,計算成束的長條狀物品的單位。,0.4837,5下
把,P,04011702,引介導致狀態改變的目標。,0.9947,5下
把,P,05000603,計算有把手或是可以握在手中的物品的單位。,0.2146,5下
把,P,04011701,引介處置的對象。,0.9231,5下
把,P,05000604,計算可以用手一把抓起的物品的單位。,0.7564,5下
把,P,04011702,引介導致狀態改變的目標。,0.7069,5下
把,P,04011702,引介導致狀態改變的目標。,0.6246,5下
把,P,04011702,引介導致狀態改變的目標。,0.7245,5下
把,P,04011701,引介處置的對象。,0.9975,5下
把,P,04011702,引介導致狀態改變的目標。,0.9178,5下
把,P,05000604,計算可以用手一把抓起的物品的單位。,0.6385,5下
把,P,05000604,計算可以用手一把抓起的物品的單位。,0.5711,5下
把,P,04011702,引介導致狀態改變的目標。,0.9989,5下
把,P,04011702,引介導致狀態改變的目標。,0.9431,5下
把,P,04011701,引介處置的對象。,0.5179,5下
把,P,04011701,引介處置的對象。,0.9997,5下
把,P,04011701,引介處置的對象。,0.9987,5下
把,P,04011702,引介導致狀態改變的目標。,0.4256,5下
把,P,05000603,計算有把手或是可以握在手中的物品的單位。,0.5321,5下
把,P,05000604,計算可以用手一把抓起的物品的單位。,0.9696,5下
把,P,04011702,引介導致狀態改變的目標。,0.8004,5下
把,P,05000603,計算有把手或是可以握在手中的物品的單位。,0.6004,5下
把,P,04011702,引介導致狀態改變的目標。,0.9958,5下
把,P,04011702,引介導致狀態改變的目標。,0.9912,5下
把,P,04011703,引介認知評價的對象。,0.2587,5下
把,P,04011702,引介導致狀態改變的目標。,0.5150,5下
把,P,05000603,計算有把手或是可以握在手中的物品的單位。,0.5042,5下
把,P,04011703,引介認知評價的對象。,0.3999,5下
把,P,04011701,引介處置的對象。,0.3599,5下
把,P,05000604,計算可以用手一把抓起的物品的單位。,0.8306,5下
把,P,05000604,計算可以用手一把抓起的物品的單位。,0.8763,5下
把,P,05000609,計算用手動作次數的單位，前接數詞，多半出現在動詞的後面。,0.5586,5下
把,P,04011702,引介導致狀態改變的目標。,0.5150,5上
